,Unnamed: 0,mmsi,sog,cog,longitude,latitude,heading,t
0,617,354048000.0,91.0,1330.0,12.41097,56.1699667,133.0,2022-08-23T10:33:01
1,622,304713000.0,70.0,1343.0,12.5371917,56.1039433,128.0,2022-08-23T10:33:05
2,628,304559000.0,86.0,1313.0,12.41846,56.15586,134.0,2022-08-23T10:33:10
3,626,265828500.0,0.0,3600.0,12.5463067,56.199225,256.0,2022-08-23T10:33:10
4,627,265527470.0,0.0,2645.0,12.5460083,56.1991833,206.0,2022-08-23T10:33:10
5,623,259837000.0,141.0,3162.0,12.5645217,56.10854,317.0,2022-08-23T10:33:07
6,625,236166000.0,76.0,1320.0,12.51673,56.1133717,127.0,2022-08-23T10:33:07
7,477,231068000.0,0.0,116.0,12.5429267,56.1988333,205.0,2022-08-23T10:30:46
8,624,220252000.0,1023.0,3600.0,12.4052183,56.135775,294.0,2022-08-23T10:33:07
9,607,219024702.0,0.0,3167.0,12.4579333,56.09473,256.0,2022-08-23T10:32:52
10,621,219024177.0,0.0,594.0,12.4582117,56.0953317,21.0,2022-08-23T10:33:04
11,620,219000417.0,27.0,2996.0,12.4848283,56.1072533,301.0,2022-08-23T10:33:04
12,603,212584000.0,0.0,1493.0,12.5422183,56.1977,168.0,2022-08-23T10:32:47
0,71,667001686.0,3.0,1961.0,103.8733567,1.2648267,245.0,2022-03-13T03:42:57
1,98,636020667.0,0.0,2436.0,103.810855,1.2461083,267.0,2022-03-13T03:43:35
2,96,636018058.0,0.0,605.0,103.7833667,1.2558083,302.0,2022-03-13T03:43:32
3,85,574005100.0,0.0,3063.0,103.8407483,1.2663233,313.0,2022-03-13T03:43:16
4,177,574001740.0,0.0,477.0,103.7971433,1.238125,296.0,2022-03-13T03:45:47
5,79,566881000.0,0.0,311.0,103.7871933,1.2576733,31.0,2022-03-13T03:43:10
6,95,566773000.0,0.0,2213.0,103.84199,1.2586683,313.0,2022-03-13T03:43:32
7,159,566709000.0,0.0,2513.0,103.834915,1.2643033,256.0,2022-03-13T03:45:27
8,136,566686000.0,0.0,297.0,103.8484433,1.263275,320.0,2022-03-13T03:44:38
9,174,566608000.0,0.0,138.0,103.7840933,1.2691867,211.0,2022-03-13T03:45:45
10,152,566386000.0,0.0,1843.0,103.7804583,1.2629533,30.0,2022-03-13T03:45:10
11,163,566339000.0,0.0,1396.0,103.7817467,1.26555,31.0,2022-03-13T03:45:32
12,173,566000050.0,1023.0,3600.0,103.8400217,1.2564367,62.0,2022-03-13T03:45:45
13,170,565175000.0,1.0,151.0,103.8412067,1.25714,256.0,2022-03-13T03:45:40
14,178,565102000.0,1.0,3505.0,103.8408517,1.256955,256.0,2022-03-13T03:45:48
15,172,564759000.0,91.0,2420.0,103.8663467,1.271685,256.0,2022-03-13T03:45:44
16,154,564654000.0,3.0,1063.0,103.8413,1.2571667,256.0,2022-03-13T03:45:12
17,166,564425000.0,0.0,3442.0,103.82055,1.2629317,6.0,2022-03-13T03:45:36
18,114,563750000.0,0.0,293.0,103.790525,1.26304,29.0,2022-03-13T03:44:00
19,156,563154500.0,1.0,3511.0,103.8685683,1.258155,253.0,2022-03-13T03:45:24
20,32,563137900.0,1.0,3130.0,103.78065,1.2630583,30.0,2022-03-13T03:41:46
21,147,563106100.0,0.0,2418.0,103.82502,1.2606383,70.0,2022-03-13T03:44:59
22,110,563098800.0,0.0,2325.0,103.841965,1.2589867,131.0,2022-03-13T03:43:52
23,86,563088700.0,0.0,3048.0,103.7921733,1.26588,29.0,2022-03-13T03:43:18
24,169,563074920.0,1.0,3600.0,103.85508,1.2695033,256.0,2022-03-13T03:45:39
25,148,563074440.0,1.0,3600.0,103.8550667,1.269625,256.0,2022-03-13T03:45:01
26,180,563072290.0,0.0,3600.0,103.8123733,1.2656433,322.0,2022-03-13T03:45:50
27,146,563069220.0,0.0,759.0,103.7850433,1.255235,122.0,2022-03-13T03:44:57
28,176,563038700.0,2.0,885.0,103.7787667,1.2606967,29.0,2022-03-13T03:45:46
29,80,563037700.0,0.0,1561.0,103.7953383,1.2405783,282.0,2022-03-13T03:43:11
30,167,563036630.0,1.0,1376.0,103.8410783,1.25705,251.0,2022-03-13T03:45:37
31,145,563034500.0,71.0,886.0,103.809415,1.26123,86.0,2022-03-13T03:44:56
32,168,563025930.0,0.0,292.0,103.7792883,1.283065,256.0,2022-03-13T03:45:37
33,175,563022310.0,0.0,3600.0,103.812655,1.2659233,256.0,2022-03-13T03:45:46
34,104,563021700.0,0.0,680.0,103.7997167,1.2412833,282.0,2022-03-13T03:43:44
35,30,563021430.0,191.0,1595.0,103.8087417,1.2464067,256.0,2022-03-13T03:41:39
